UUID_FAMILY;ORIGGPCD;UUID_CONTENT;LANG;ORIGGPFR
AA126ACA-1C44-457D-A504-FC1466AE5082;18.4;8098E694-9FA1-44FE-85B8-518B9A0C679B;fr_FR;Confitures et assimilés
D97C63D0-7221-4174-9572-28E1B7C1C859;18.5;E727098E-4063-4B0C-AD0F-E80EE00D751F;fr_FR;Compotes et assimilés
BB5FE1ED-A34D-469F-8665-4C56052483CC;18.6;43DDE7E2-8A27-406F-BA42-601DA7DB0CFF;fr_FR;Autres produits transformés à base de fruits
01BF1B15-BB6B-4CFE-843F-DEC7A04FD2B3;19;29E8EC31-57AB-46EC-9B02-795BBB49FBC3;fr_FR;Jus et nectars
47B42E53-AB4B-42A9-B5F0-71E4CE76FDAD;19.1;12046EA3-9958-4838-8714-2150FAB726E7;fr_FR;Jus
B51CE56D-0B21-4A2A-8C56-C64A3F8A9E87;19.2;DF30EA92-C8D3-4C89-9FDE-2FDF9C6E30C7;fr_FR;Nectars
807F5E79-87A3-4FFA-9774-4058CEDEDA81;20;CDFD6AC2-1B28-43DC-83B7-E1BF1A53EBE8;fr_FR;Fruits à coques et graines oléagineuses
DEF59B08-9E4C-49FE-BC5D-D22D47857BD6;21.1;B8E84423-6DDF-43D4-99B7-D342456E34B1;fr_FR;Sucres, miels, sirops
91FB3928-F6F7-4590-8D7A-8B203BC55CFF;21.3;6D9A8B1B-92BA-4F51-A612-00813D9CF0C9;fr_FR;Confiseries non chocolatées
59082F14-AD58-44AF-AF51-3C4BD2A46F06;21.4;5FC22469-E91A-44EC-98C2-D358B1149030;fr_FR;Chocolats et produits à base de chocolat
61D2BC8A-7556-46C2-A247-50C285C7F935;22.1;B612E6B2-E4E2-4D1C-8001-3F8567EF327B;fr_FR;Boissons rafraîchissantes sans alcool avec sucre
B6A8E93F-3D74-49FB-8F3C-FA4CE2EE07B2;22.2;34F39FC0-E939-4F1A-8AC6-81A1A7F566FE;fr_FR;Eaux
E9AF4A2D-F76A-472F-BA30-7C4B784FB9F4;22.3;13CA3DC8-BC94-4DA3-B719-14E32C639E8C;fr_FR;Café, thé, cacao, etc. en poudre à préparer
8D3F83D4-A810-4D6C-97A4-FE2492A3DF13;22.4;B17F65DD-8F10-45EC-8856-EBB497399DDF;fr_FR;Café, thé, cacao, etc. prêts à consommer
C6C27D88-23E3-4396-9D4A-DEA36CB580B1;22.5;05BDC3A1-3018-4720-8526-ECA1DC943CBC;fr_FR;Préparations pour boissons rafraîch. sans alcool
8085BD78-9136-4189-A91B-C208A26ECC53;22.6;B80FCC65-C24C-4A0B-81D9-26BCFB7F41E1;fr_FR;Boissons rafraîchissantes sans alcool lactées
31F48662-678C-4413-B672-A0083C6B3525;22.7;801D70FB-D55C-4C4D-BF52-7897BE0091A9;fr_FR;Boissons rafraîchissantes sans alcool sans sucre
405C0860-E058-4DE7-BC36-9137F5F61D3E;23.1;20F298B5-EA2C-404A-A6F0-BEA51FDCC0A3;fr_FR;Bières et similaires
406E2EDE-DDEF-43A6-9092-4B11BC1F9EA1;23.2;6DBA8C33-1309-464F-A11F-491805DAD301;fr_FR;Cidres et similaires
F755298D-7087-47F9-8CBA-862DBE1FFA38;23.3;841405EB-FD9F-4F24-B58C-357180A27B86;fr_FR;Vins
AA425D92-CCDE-4E6C-B8A8-BDF26CAE0FC1;23.4;C9852435-2053-4C9C-B0CC-0F45A3B622B5;fr_FR;Liqueurs et alcools
23AE9F51-12F9-4B6A-9EBD-90DF7014CE4D;23.5;0969BEF2-79D4-4244-9729-7A716C7E12C0;fr_FR;Cocktails
7E4A6B57-4665-4073-8315-9750A72F6983;24;FA6E6546-BB4F-4483-9C52-3050EEF68F31;fr_FR;Salades composées et crudités
85038681-72EE-40E8-A15A-02CC7395D9A8;25;97347EE8-37F2-4421-BEAB-26F4967BBDDD;fr_FR;Plats composés
BA9EF3E2-811B-4FD5-ACF7-FF6D151D5B35;25.1;E06C716D-CE13-4831-BBF5-4F550D4DF998;fr_FR;Plats de viande/volaille sans garniture
087E4F6F-5D8C-4565-A083-CCD3D18C0136;25.2;3334FCC8-EC93-41FE-BD9A-50F8AFB852A2;fr_FR;Plats de poisson/prod. aquatiques sans garniture
83F875C1-9E4F-4996-B00A-1FCEE1BC6858;25.3;850A88DE-A313-4F0D-88F7-BAF7C7A13440;fr_FR;Plats de légumes/légumineuses
D2553CB0-CDB7-4792-ABC4-A4F79DF6C851;25.4;353E7C2F-A92D-4093-84EA-D225D6E61318;fr_FR;Plats de céréales/pâtes
24F39799-8FC5-4692-B117-D4C1851689FE;25.5;01902C0A-AAB7-424E-8E2C-B335E5F17466;fr_FR;Plats de fromage
309F4753-E19D-4335-8835-707C128C9CB1;25.6;E5BCE47C-D4D8-4D0C-B85A-E8127B713CBA;fr_FR;Plats de viande/volaille et légumes/légumineuses
073656BB-F38C-4C77-BEA5-FAECC7A61A38;25.7;42C3B763-F71E-49BD-9E89-8EF6FB6DF7B9;fr_FR;Plats de poisson/prod. aquatiques et féculents
